Claim_Extr_Method,Ver,Conversation_Hash,Individual_Statement,Human1_Annotation,Human2_Annotation,Human1_CW,Human2_CW,Human1_Human2_Agree,check_worthy,CW_Tie,Majer,Hassan,Majer_Binary,Hassan_Binary,Gold,Intersection,Union,Task_Classification
FHuo,v2,e16eff87984b2fe9b1bd4e9f680cb8bb,"After being helped by Amatsu, Ayumi rejoined her companions.",NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v2,059a5fe47ecb9af1a63af0ac9e92c22e,There is an error related to upstream connectivity in the nginx server.,NFS,UFS,FALSE,FALSE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Coding & Debugging
FHuo,v2,b5faed7a617ed9b71bb65de485712c2b,All cabinet positions must be approved by the Council in majority vote or by 60% of both the Senate and House.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Reasoning
FHuo,v2,e78e44aff7df8eaff619fe10d9b64463,The MMPI scales are presented as a numbered list.,CFS,UFS,TRUE,FALSE,FALSE,N,FALSE,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Reasoning
FHuo,v2,0514da8a98d02411ecc63257d0127fdf,Residents are advised to shut off any fans and bring pets inside.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,NFS,FALSE,FALSE,FALSE,FALSE,FALSE,Editing
FHuo,v2,8081235cccbe074e90798cfa8ec59941,Most of the team from the office were on a night out to celebrate David’s 30th birthday.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v2,234ef2d302c1517d7087284a81e7a5bc,"Mega-projects can face numerous regulatory hurdles and bureaucratic inefficiencies, causing delays and increased costs.",CFS,UFS,TRUE,FALSE,FALSE,N,FALSE,CFS,CFS,TRUE,TRUE,FALSE,TRUE,TRUE,Information seeking
FHuo,v2,bee609ebb8af1d893adf8b35e41cece0,Annon narn is proposed as the Sindarin translation for 'The Gate of Wood.',UFS,CFS,FALSE,TRUE,FALSE,Y,TRUE,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Others
FHuo,v2,d1bd329a3e8dfc15f3c56428103188ce,Vostovian sorcerers are highly respected in Vostovian society.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,NFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Brainstorming
FHuo,v2,08a39ca60416590b6b2309db82e241a4,Promotion involves the communication of the product benefits to the target audiences.,CFS,UFS,TRUE,FALSE,FALSE,N,FALSE,UFS,CFS,FALSE,TRUE,FALSE,FALSE,TRUE,Editing
FHuo,v2,19088ab03bafdbc3ea0c0e4501d749f4,"Factors contributing to air pollution include industrial activity, transportation, and energy production.",CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Information seeking
FHuo,v2,66e5c5d8c2d6e40e8c21675d98125f32,Becker (1968) argued that fines are a more efficient form of penalty than prison sentences for economic crimes.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Creative Writing
FHuo,v2,315c4ce585cf1993350946308b0c02f4,Japan formed the Greater East Asian Co-Prosperity Sphere from the remains of ASEAN.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,FALSE,TRUE,TRUE,Creative Writing
FHuo,v2,54e1257c0d6fa9eb7ce3e47d1236998c,Velveteen Dream refused Goldust's handshake.,NFS,NFS,FALSE,FALSE,TRUE,NA,NA,UFS,UFS,FALSE,FALSE,FALSE,FALSE,FALSE,Creative Writing
FHuo,v2,0f1c08b54ec62c6e3d58b67caa67d93d,Arshad Warsi and Boman Irani starred together in Munna Bhai M.B.B.S. (2003),CFS,CFS,TRUE,TRUE,TRUE,NA,NA,CFS,CFS,TRUE,TRUE,TRUE,TRUE,TRUE,Information seeking
FHuo,v2,f0272ba16e1f456cb2d94aa33762ee39,You can link your mobile number to the Google Pay app and verify it using the one-time password (OTP) sent to your phone.,CFS,CFS,TRUE,TRUE,TRUE,NA,NA,UFS,CFS,FALSE,TRUE,TRUE,FALSE,TRUE,Information seeking
